customer_id,brand,region,acquisition_channel,plan,tenure_months,active_subscriptions,monthly_revenue,discount_rate,support_tickets_90d,late_shipments_90d,email_engagement,avg_days_between_orders,churned,churn_risk_score,risk_segment
CUST-00001,VitalEdge Wellness,Singapore,display,monthly,7,2,61.3,0.05,1,0,0.67,26.2,0,0.2104,low
CUST-00002,Northstar Apparel,Singapore,organic,monthly,27,2,54.07,0.189,0,0,0.98,27.5,0,0.0616,low
CUST-00003,Voltix Home,Malaysia,affiliate,monthly,31,1,119.97,0.196,0,1,0.439,32.3,0,0.0972,low
CUST-00004,Northstar Apparel,Malaysia,organic,quarterly,22,1,45.74,0.024,1,0,0.613,49.0,1,0.0829,low
CUST-00005,Voltix Home,Indonesia,organic,quarterly,35,3,166.82,0.298,2,2,0.555,42.6,0,0.1548,low
CUST-00006,Voltix Home,Thailand,paid_search,monthly,23,3,124.05,0.05,2,0,0.779,24.6,0,0.1083,low
CUST-00007,VitalEdge Wellness,Thailand,display,monthly,17,3,83.16,0.309,0,0,0.325,27.9,0,0.2305,low
CUST-00008,DermaCo Labs,Malaysia,organic,monthly,21,2,36.43,0.12,0,0,0.819,30.0,0,0.0758,low
CUST-00009,VitalEdge Wellness,Philippines,organic,monthly,2,2,69.06,0.097,1,1,0.216,45.6,0,0.3877,watch
CUST-00010,Voltix Home,Philippines,organic,annual,15,2,133.65,0.07,0,2,0.386,84.3,0,0.1712,low
CUST-00011,Northstar Apparel,Singapore,paid_search,monthly,34,1,71.73,0.054,0,0,0.872,27.2,0,0.0478,low
CUST-00012,Voltix Home,Indonesia,display,monthly,28,3,81.8,0.203,3,1,0.425,37.5,1,0.3032,watch
CUST-00013,VitalEdge Wellness,Indonesia,organic,quarterly,31,1,51.24,0.426,0,1,0.512,48.3,0,0.1006,low
CUST-00014,DermaCo Labs,Singapore,display,annual,22,1,48.21,0.344,0,0,0.191,77.2,1,0.2709,watch
CUST-00015,Voltix Home,Malaysia,affiliate,annual,31,1,127.51,0.214,1,1,0.517,73.1,0,0.1055,low
CUST-00016,DermaCo Labs,Indonesia,affiliate,monthly,13,2,45.8,0.287,1,1,0.732,33.2,1,0.2471,low
CUST-00017,DermaCo Labs,Singapore,paid_search,monthly,28,3,35.89,0.196,0,1,0.567,46.2,0,0.1274,low
CUST-00018,DermaCo Labs,Thailand,paid_search,monthly,36,1,44.87,0.024,3,0,0.759,27.3,0,0.0994,low
CUST-00019,Northstar Apparel,Thailand,paid_search,monthly,8,2,29.96,0.029,0,0,0.223,36.1,0,0.2201,low
CUST-00020,Voltix Home,Malaysia,paid_search,monthly,6,3,161.33,0.218,1,1,0.338,31.8,1,0.4121,watch
CUST-00021,VitalEdge Wellness,Singapore,affiliate,quarterly,3,3,69.4,0.53,0,1,0.644,52.1,0,0.2871,watch
CUST-00022,VitalEdge Wellness,Indonesia,affiliate,quarterly,35,3,66.37,0.252,0,1,0.439,33.7,0,0.05,low
CUST-00023,Northstar Apparel,Indonesia,display,monthly,33,2,53.04,0.247,0,0,0.445,16.9,1,0.1129,low
CUST-00024,DermaCo Labs,Indonesia,organic,monthly,29,2,32.21,0.119,0,2,0.281,29.6,0,0.1379,low
CUST-00025,Voltix Home,Malaysia,display,monthly,18,2,86.57,0.215,0,0,0.358,35.6,0,0.1924,low
CUST-00026,Northstar Apparel,Malaysia,display,annual,29,3,67.2,0.015,1,1,0.217,82.1,0,0.166,low
CUST-00027,DermaCo Labs,Malaysia,paid_search,quarterly,7,2,46.72,0.224,2,1,0.661,46.8,0,0.3049,watch
CUST-00028,Northstar Apparel,Thailand,email,annual,27,3,72.13,0.2,0,0,0.525,78.5,0,0.0855,low
CUST-00029,Northstar Apparel,Malaysia,paid_search,monthly,31,1,52.4,0.28,3,1,0.525,50.1,1,0.3289,watch
CUST-00030,Northstar Apparel,Indonesia,affiliate,monthly,10,1,56.31,0.2,1,1,0.617,50.5,0,0.3211,watch
CUST-00031,Voltix Home,Thailand,paid_search,annual,16,2,167.22,0.206,1,0,0.584,77.7,0,0.1968,low
CUST-00032,Voltix Home,Singapore,organic,annual,26,1,260.73,0.264,2,0,0.459,78.2,1,0.3033,watch
CUST-00033,Voltix Home,Thailand,display,monthly,12,3,117.62,0.241,4,1,0.907,26.1,1,0.4202,watch
CUST-00034,Voltix Home,Thailand,organic,quarterly,22,1,148.15,0.136,1,0,0.817,45.5,0,0.0809,low
CUST-00035,VitalEdge Wellness,Thailand,email,monthly,17,1,72.05,0.271,0,0,0.579,33.6,1,0.1429,low
CUST-00036,VitalEdge Wellness,Singapore,display,quarterly,2,3,85.7,0.285,0,1,0.441,59.9,1,0.3524,watch
CUST-00037,DermaCo Labs,Singapore,email,quarterly,36,2,39.74,0.128,2,1,0.7,46.5,1,0.0758,low
CUST-00038,VitalEdge Wellness,Malaysia,paid_search,monthly,16,3,73.93,0.048,0,0,0.541,33.7,0,0.1056,low
CUST-00039,VitalEdge Wellness,Malaysia,affiliate,quarterly,2,1,102.03,0.426,0,0,0.685,51.4,0,0.2424,low
CUST-00040,Northstar Apparel,Thailand,paid_search,quarterly,10,2,75.22,0.105,1,0,0.347,72.7,0,0.2736,watch
CUST-00041,DermaCo Labs,Indonesia,paid_search,monthly,25,2,50.24,0.177,0,0,0.409,35.0,0,0.1407,low
CUST-00042,VitalEdge Wellness,Malaysia,display,quarterly,6,1,74.4,0.409,3,1,0.357,62.2,1,0.6401,high
CUST-00043,Northstar Apparel,Singapore,display,monthly,15,3,70.85,0.15,1,1,0.405,49.8,0,0.3739,watch
CUST-00044,DermaCo Labs,Singapore,display,quarterly,34,3,35.13,0.293,1,0,0.741,46.2,0,0.0861,low
CUST-00045,Northstar Apparel,Malaysia,affiliate,quarterly,22,2,45.94,0.163,0,0,0.285,48.2,0,0.1003,low
CUST-00046,Voltix Home,Malaysia,paid_search,monthly,32,2,122.97,0.147,2,1,0.347,27.7,0,0.1776,low
CUST-00047,DermaCo Labs,Malaysia,affiliate,monthly,32,2,29.97,0.293,1,0,0.563,32.3,0,0.1094,low
CUST-00048,DermaCo Labs,Indonesia,organic,monthly,33,1,42.43,0.405,1,0,0.653,24.1,0,0.1368,low
CUST-00049,Northstar Apparel,Indonesia,organic,monthly,31,3,45.18,0.137,1,2,0.237,25.7,1,0.173,low
CUST-00050,VitalEdge Wellness,Thailand,paid_search,monthly,25,2,67.2,0.362,0,0,0.652,32.2,1,0.1159,low
CUST-00051,Northstar Apparel,Thailand,affiliate,monthly,19,1,59.75,0.168,2,1,0.53,20.1,0,0.2338,low
CUST-00052,Northstar Apparel,Singapore,paid_search,monthly,10,2,63.97,0.452,0,1,0.506,24.7,1,0.3678,watch
CUST-00053,Voltix Home,Philippines,affiliate,annual,19,2,170.38,0.255,1,0,0.502,69.5,0,0.1652,low
CUST-00054,DermaCo Labs,Singapore,display,monthly,35,1,34.17,0.054,0,0,0.263,32.3,0,0.102,low
CUST-00055,Voltix Home,Thailand,email,monthly,20,3,107.52,0.179,0,0,0.196,47.9,0,0.1682,low
CUST-00056,Northstar Apparel,Thailand,organic,annual,30,1,36.41,0.072,1,0,0.741,73.2,0,0.0601,low
CUST-00057,VitalEdge Wellness,Thailand,organic,monthly,17,1,50.72,0.085,0,1,0.129,44.4,1,0.1982,low
CUST-00058,VitalEdge Wellness,Malaysia,paid_search,monthly,10,2,73.05,0.272,0,0,0.43,23.0,0,0.2124,low
CUST-00059,VitalEdge Wellness,Malaysia,display,annual,18,3,89.94,0.029,1,0,0.59,73.8,0,0.1249,low
CUST-00060,Voltix Home,Thailand,organic,annual,27,1,153.85,0.08,1,1,0.106,92.8,0,0.2051,low
CUST-00061,VitalEdge Wellness,Thailand,paid_search,annual,33,3,88.48,0.234,3,0,0.371,72.6,0,0.1778,low
CUST-00062,Voltix Home,Thailand,display,monthly,9,3,144.83,0.289,0,0,0.283,34.4,0,0.3489,watch
CUST-00063,VitalEdge Wellness,Philippines,paid_search,monthly,23,3,26.34,0.276,0,1,0.402,26.1,0,0.1231,low
CUST-00064,Voltix Home,Malaysia,paid_search,monthly,19,3,156.68,0.55,1,2,0.725,21.6,0,0.3337,watch
CUST-00065,VitalEdge Wellness,Thailand,email,monthly,8,2,69.97,0.199,1,0,0.348,25.4,0,0.2568,watch
CUST-00066,Voltix Home,Indonesia,paid_search,monthly,9,2,83.34,0.213,0,0,0.354,18.7,0,0.2077,low
CUST-00067,DermaCo Labs,Philippines,display,quarterly,17,1,48.78,0.107,3,0,0.371,38.9,0,0.2931,watch
CUST-00068,Voltix Home,Singapore,organic,monthly,26,3,111.47,0.394,1,0,0.46,29.2,0,0.1871,low
CUST-00069,Northstar Apparel,Malaysia,paid_search,quarterly,32,1,69.07,0.271,0,0,0.333,49.2,0,0.1028,low
CUST-00070,Voltix Home,Singapore,organic,monthly,21,2,54.88,0.319,1,1,0.969,35.4,0,0.1257,low
CUST-00071,Northstar Apparel,Indonesia,paid_search,quarterly,22,3,38.64,0.149,1,0,0.608,49.2,0,0.1069,low
CUST-00072,DermaCo Labs,Indonesia,organic,monthly,1,1,40.44,0.437,1,1,0.628,29.4,0,0.4914,high
CUST-00073,Northstar Apparel,Singapore,display,monthly,13,3,52.27,0.036,0,0,0.807,37.4,0,0.1359,low
CUST-00074,Northstar Apparel,Philippines,affiliate,monthly,34,2,55.74,0.55,0,0,0.157,43.8,1,0.209,low
CUST-00075,DermaCo Labs,Thailand,affiliate,monthly,28,3,46.25,0.522,0,0,0.78,25.7,0,0.109,low
CUST-00076,DermaCo Labs,Indonesia,email,quarterly,14,1,43.52,0.074,1,0,0.515,49.9,0,0.1467,low
CUST-00077,VitalEdge Wellness,Thailand,display,annual,35,1,92.93,0.334,1,0,0.428,72.8,0,0.1416,low
CUST-00078,Voltix Home,Singapore,affiliate,quarterly,25,2,84.8,0.179,2,1,0.58,42.0,0,0.1163,low
CUST-00079,VitalEdge Wellness,Malaysia,display,monthly,19,3,50.43,0.55,1,0,0.14,17.0,1,0.3848,watch
CUST-00080,Voltix Home,Indonesia,organic,monthly,3,1,146.72,0.083,2,1,0.681,15.8,0,0.3312,watch
CUST-00081,Northstar Apparel,Malaysia,display,annual,21,2,66.22,0.336,0,1,0.295,82.3,1,0.281,watch
CUST-00082,DermaCo Labs,Singapore,email,monthly,2,1,37.42,0.203,3,0,0.404,34.9,0,0.5511,high
CUST-00083,DermaCo Labs,Malaysia,display,monthly,16,3,31.44,0.031,0,0,0.751,23.5,0,0.0976,low
CUST-00084,VitalEdge Wellness,Thailand,email,monthly,27,1,69.09,0.28,0,0,0.557,39.8,0,0.1035,low
CUST-00085,VitalEdge Wellness,Philippines,email,monthly,29,3,73.53,0.237,2,1,0.466,40.2,0,0.1777,low
CUST-00086,Voltix Home,Thailand,paid_search,monthly,13,3,132.26,0.185,1,2,0.481,29.1,0,0.2871,watch
CUST-00087,VitalEdge Wellness,Indonesia,display,quarterly,20,3,78.35,0.144,1,1,0.241,62.2,1,0.2349,low
CUST-00088,VitalEdge Wellness,Malaysia,display,quarterly,14,1,50.26,0.14,0,1,0.495,63.7,0,0.1683,low
CUST-00089,Voltix Home,Singapore,email,monthly,31,3,147.55,0.085,2,0,0.172,16.8,0,0.1554,low
CUST-00090,VitalEdge Wellness,Malaysia,paid_search,monthly,6,2,70.49,0.077,1,0,0.434,27.9,1,0.2378,low
CUST-00091,Northstar Apparel,Malaysia,display,monthly,27,2,39.32,0.271,0,0,0.68,29.1,0,0.1177,low
CUST-00092,VitalEdge Wellness,Indonesia,email,monthly,30,2,78.71,0.016,1,1,0.669,41.9,0,0.0832,low
CUST-00093,Voltix Home,Philippines,paid_search,monthly,26,1,82.9,0.297,2,0,0.779,21.0,0,0.1357,low
CUST-00094,Northstar Apparel,Thailand,organic,monthly,30,3,48.48,0.275,0,0,0.626,54.7,1,0.105,low
CUST-00095,Northstar Apparel,Thailand,email,quarterly,22,1,65.37,0.202,0,0,0.762,64.7,0,0.0868,low
CUST-00096,Voltix Home,Thailand,organic,quarterly,31,2,121.94,0.298,2,0,0.535,47.0,0,0.1208,low
CUST-00097,Voltix Home,Malaysia,affiliate,quarterly,29,1,138.4,0.208,4,1,0.086,59.6,1,0.3729,watch
CUST-00098,DermaCo Labs,Indonesia,display,quarterly,10,2,35.1,0.358,0,1,0.588,48.1,0,0.2671,watch
CUST-00099,DermaCo Labs,Malaysia,email,monthly,4,2,39.6,0.228,0,0,0.895,29.2,0,0.1668,low
CUST-00100,VitalEdge Wellness,Indonesia,paid_search,quarterly,34,3,93.5,0.054,2,1,0.598,45.9,0,0.08,low
CUST-00101,DermaCo Labs,Malaysia,affiliate,quarterly,30,3,42.52,0.117,0,0,0.599,31.8,0,0.0365,low
CUST-00102,VitalEdge Wellness,Indonesia,paid_search,annual,9,3,55.34,0.226,1,0,0.266,87.1,0,0.2979,watch
CUST-00103,VitalEdge Wellness,Malaysia,display,monthly,15,3,74.06,0.305,1,1,0.559,36.3,0,0.3018,watch
CUST-00104,DermaCo Labs,Singapore,affiliate,quarterly,2,2,43.02,0.115,2,1,0.423,61.6,0,0.3821,watch
CUST-00105,DermaCo Labs,Thailand,organic,quarterly,24,3,32.52,0.209,1,1,0.577,50.7,0,0.1142,low
CUST-00106,Northstar Apparel,Malaysia,paid_search,quarterly,25,2,38.05,0.19,3,1,0.325,56.9,0,0.2812,watch
CUST-00107,Voltix Home,Indonesia,affiliate,monthly,24,1,105.72,0.097,1,2,0.58,24.6,0,0.1366,low
CUST-00108,DermaCo Labs,Singapore,display,monthly,4,3,42.43,0.195,0,1,0.976,32.7,0,0.2299,low
CUST-00109,VitalEdge Wellness,Indonesia,email,monthly,34,2,78.98,0.118,1,0,0.546,19.5,0,0.0675,low
CUST-00110,Northstar Apparel,Singapore,paid_search,monthly,12,3,63.86,0.106,0,0,0.482,29.1,0,0.1807,low
CUST-00111,DermaCo Labs,Philippines,paid_search,annual,12,3,43.77,0.072,0,0,0.653,81.8,0,0.1118,low
CUST-00112,VitalEdge Wellness,Thailand,display,quarterly,22,1,92.49,0.094,0,0,0.6,28.0,0,0.0703,low
CUST-00113,Northstar Apparel,Indonesia,affiliate,monthly,29,2,47.1,0.17,2,0,0.346,20.6,0,0.166,low
CUST-00114,Voltix Home,Philippines,affiliate,monthly,4,1,151.45,0.148,1,1,0.68,41.9,1,0.2981,watch
CUST-00115,Northstar Apparel,Thailand,organic,monthly,4,1,56.58,0.314,1,0,0.574,37.8,0,0.3818,watch
CUST-00116,VitalEdge Wellness,Malaysia,email,quarterly,35,2,78.23,0.096,1,0,0.183,50.3,0,0.0725,low
CUST-00117,Northstar Apparel,Thailand,affiliate,monthly,22,2,42.79,0.146,1,0,0.332,50.4,0,0.191,low
CUST-00118,DermaCo Labs,Thailand,organic,quarterly,17,1,42.34,0.121,0,1,0.287,30.3,0,0.1255,low
CUST-00119,VitalEdge Wellness,Philippines,email,quarterly,7,3,70.52,0.141,0,1,0.138,54.8,0,0.2067,low
CUST-00120,DermaCo Labs,Indonesia,organic,annual,34,2,49.17,0.26,0,3,0.614,101.3,0,0.1383,low
CUST-00121,VitalEdge Wellness,Thailand,affiliate,annual,27,1,95.29,0.233,2,2,0.386,83.3,0,0.236,low
CUST-00122,VitalEdge Wellness,Singapore,email,quarterly,23,1,91.31,0.103,0,1,0.367,57.9,0,0.1099,low
CUST-00123,VitalEdge Wellness,Malaysia,affiliate,monthly,12,2,63.7,0.301,0,2,0.38,25.0,0,0.245,low
CUST-00124,Northstar Apparel,Singapore,affiliate,quarterly,5,3,45.83,0.507,0,0,0.814,49.6,0,0.2158,low
CUST-00125,VitalEdge Wellness,Philippines,organic,quarterly,3,1,69.34,0.257,0,2,0.811,53.7,1,0.1942,low
CUST-00126,VitalEdge Wellness,Indonesia,display,monthly,4,2,59.4,0.085,0,2,0.732,30.7,1,0.2421,low
CUST-00127,DermaCo Labs,Malaysia,organic,annual,35,2,57.91,0.114,2,1,0.721,69.7,0,0.0866,low
CUST-00128,Voltix Home,Indonesia,paid_search,quarterly,21,3,154.02,0.253,0,0,0.373,56.2,0,0.1488,low
CUST-00129,DermaCo Labs,Philippines,paid_search,monthly,35,1,36.9,0.226,0,0,0.859,34.0,0,0.0549,low
CUST-00130,DermaCo Labs,Malaysia,affiliate,monthly,30,3,37.05,0.279,1,1,0.792,41.0,0,0.1111,low
CUST-00131,DermaCo Labs,Philippines,paid_search,monthly,4,1,52.93,0.364,0,0,0.672,25.7,1,0.2877,watch
CUST-00132,Northstar Apparel,Indonesia,paid_search,monthly,23,3,63.34,0.221,1,1,0.359,35.3,0,0.2538,watch
CUST-00133,Voltix Home,Thailand,affiliate,annual,27,1,204.68,0.243,1,0,0.256,90.2,0,0.2183,low
CUST-00134,Northstar Apparel,Singapore,email,annual,11,1,57.89,0.14,1,0,0.749,57.5,0,0.1471,low
CUST-00135,Northstar Apparel,Philippines,paid_search,monthly,23,1,67.53,0.228,0,1,0.399,22.0,0,0.1724,low
CUST-00136,DermaCo Labs,Indonesia,affiliate,quarterly,4,1,45.31,0.245,1,1,0.53,48.8,0,0.3028,watch
CUST-00137,Voltix Home,Thailand,organic,annual,4,3,241.98,0.41,1,1,0.349,79.8,0,0.552,high
CUST-00138,DermaCo Labs,Singapore,paid_search,monthly,30,2,30.49,0.3,0,0,0.377,42.6,0,0.1493,low
CUST-00139,VitalEdge Wellness,Indonesia,paid_search,monthly,33,3,78.33,0.181,2,1,0.607,45.3,0,0.1556,low
CUST-00140,Northstar Apparel,Thailand,email,monthly,16,2,56.24,0.219,3,1,0.76,19.0,0,0.2834,watch
CUST-00141,VitalEdge Wellness,Thailand,display,monthly,2,1,59.71,0.012,1,0,0.619,47.2,1,0.2835,watch
CUST-00142,VitalEdge Wellness,Malaysia,organic,monthly,27,1,57.83,0.115,0,0,0.621,47.6,0,0.0763,low
CUST-00143,DermaCo Labs,Philippines,paid_search,quarterly,2,3,51.99,0.238,0,0,0.516,47.8,0,0.2153,low
CUST-00144,DermaCo Labs,Malaysia,organic,annual,23,1,42.63,0.202,0,1,0.724,89.9,0,0.1122,low
CUST-00145,Northstar Apparel,Singapore,paid_search,annual,16,3,103.97,0.114,0,1,0.457,89.3,0,0.2085,low
CUST-00146,Northstar Apparel,Malaysia,paid_search,quarterly,14,1,49.65,0.213,1,0,0.395,39.9,0,0.2033,low
CUST-00147,Voltix Home,Indonesia,paid_search,quarterly,16,2,106.49,0.038,1,1,0.609,51.8,0,0.1278,low
CUST-00148,Voltix Home,Thailand,paid_search,quarterly,9,1,97.17,0.187,1,1,0.407,53.6,1,0.2531,watch
CUST-00149,Voltix Home,Thailand,display,quarterly,29,2,109.46,0.12,0,1,0.248,46.1,0,0.1023,low
CUST-00150,DermaCo Labs,Singapore,paid_search,monthly,5,2,18.11,0.214,0,1,0.567,37.4,0,0.2857,watch
CUST-00151,VitalEdge Wellness,Malaysia,paid_search,quarterly,35,2,58.05,0.208,2,0,0.521,61.6,0,0.0968,low
CUST-00152,Northstar Apparel,Singapore,paid_search,quarterly,9,2,59.23,0.293,1,0,0.406,57.4,1,0.323,watch
CUST-00153,DermaCo Labs,Malaysia,display,quarterly,7,2,28.63,0.147,1,0,0.55,44.7,1,0.2251,low
CUST-00154,Northstar Apparel,Malaysia,organic,quarterly,26,2,65.95,0.192,1,1,0.465,47.0,0,0.1314,low
CUST-00155,Northstar Apparel,Philippines,email,annual,20,1,74.75,0.306,0,0,0.692,73.2,1,0.1204,low
CUST-00156,Northstar Apparel,Singapore,organic,monthly,28,3,58.93,0.273,2,0,0.365,39.6,0,0.2495,low
CUST-00157,Voltix Home,Indonesia,organic,quarterly,28,2,105.36,0.399,2,0,0.98,39.0,0,0.0965,low
CUST-00158,VitalEdge Wellness,Indonesia,affiliate,monthly,33,2,70.49,0.529,2,0,0.842,25.6,0,0.1463,low
CUST-00159,VitalEdge Wellness,Indonesia,affiliate,monthly,7,1,67.45,0.308,0,0,0.69,26.5,0,0.1926,low
CUST-00160,DermaCo Labs,Malaysia,affiliate,annual,7,1,49.61,0.176,3,0,0.525,65.5,0,0.3491,watch
CUST-00161,Voltix Home,Malaysia,organic,monthly,5,3,107.96,0.051,1,0,0.464,29.9,0,0.2151,low
CUST-00162,VitalEdge Wellness,Philippines,display,monthly,24,1,66.56,0.166,0,1,0.331,31.9,0,0.1664,low
CUST-00163,VitalEdge Wellness,Thailand,organic,monthly,6,2,54.98,0.43,1,0,0.684,28.5,0,0.2926,watch
CUST-00164,DermaCo Labs,Singapore,affiliate,annual,7,1,49.84,0.094,0,1,0.572,76.1,0,0.1848,low
CUST-00165,Northstar Apparel,Indonesia,display,monthly,6,2,45.73,0.102,0,1,0.441,33.1,0,0.3122,watch
CUST-00166,Voltix Home,Malaysia,organic,annual,30,2,126.06,0.244,1,0,0.417,98.4,0,0.1424,low
CUST-00167,VitalEdge Wellness,Indonesia,organic,monthly,31,3,55.49,0.196,0,1,0.294,22.7,1,0.0947,low
CUST-00168,DermaCo Labs,Malaysia,paid_search,quarterly,20,3,59.77,0.194,0,0,0.867,59.9,0,0.0798,low
CUST-00169,VitalEdge Wellness,Malaysia,display,quarterly,8,3,87.88,0.338,2,1,0.432,54.6,1,0.4429,watch
CUST-00170,Northstar Apparel,Thailand,paid_search,monthly,8,2,66.6,0.104,0,0,0.227,35.5,0,0.2738,watch
CUST-00171,Voltix Home,Thailand,paid_search,annual,9,3,170.4,0.235,0,0,0.376,75.9,1,0.2384,low
CUST-00172,Northstar Apparel,Malaysia,organic,quarterly,36,2,68.45,0.217,0,1,0.512,65.9,1,0.077,low
CUST-00173,Northstar Apparel,Philippines,organic,monthly,7,2,60.6,0.195,0,0,0.5,44.2,1,0.2455,low
CUST-00174,DermaCo Labs,Philippines,organic,monthly,36,1,21.79,0.153,1,0,0.495,27.8,0,0.0772,low
CUST-00175,Northstar Apparel,Indonesia,paid_search,monthly,8,3,59.96,0.111,0,1,0.349,33.1,1,0.2763,watch
CUST-00176,Northstar Apparel,Singapore,affiliate,monthly,36,2,35.4,0.224,1,0,0.756,46.3,0,0.081,low
CUST-00177,VitalEdge Wellness,Indonesia,paid_search,quarterly,17,1,60.75,0.059,2,0,0.382,47.6,1,0.1763,low
CUST-00178,Voltix Home,Singapore,paid_search,monthly,13,3,84.32,0.154,2,0,0.511,36.5,0,0.2607,watch
CUST-00179,DermaCo Labs,Indonesia,affiliate,quarterly,12,1,58.2,0.334,0,0,0.175,43.3,0,0.2501,watch
CUST-00180,Northstar Apparel,Thailand,organic,quarterly,24,2,42.46,0.411,1,1,0.713,46.8,0,0.1485,low
CUST-00181,Voltix Home,Philippines,email,quarterly,25,3,94.0,0.056,2,0,0.434,46.8,0,0.0885,low
CUST-00182,Voltix Home,Thailand,email,monthly,33,3,98.51,0.04,1,1,0.569,40.6,0,0.0719,low
CUST-00183,Voltix Home,Malaysia,paid_search,monthly,32,3,162.45,0.314,2,0,0.677,30.6,0,0.1643,low
CUST-00184,DermaCo Labs,Malaysia,affiliate,annual,22,2,59.58,0.368,0,1,0.43,71.0,0,0.1695,low
CUST-00185,VitalEdge Wellness,Malaysia,affiliate,monthly,17,2,41.74,0.112,0,0,0.365,32.7,0,0.1109,low
CUST-00186,Voltix Home,Malaysia,paid_search,quarterly,26,3,76.19,0.489,3,0,0.562,61.9,0,0.261,watch
CUST-00187,VitalEdge Wellness,Malaysia,affiliate,monthly,35,1,72.33,0.256,0,0,0.594,30.8,0,0.0607,low
CUST-00188,Northstar Apparel,Singapore,organic,monthly,7,3,53.11,0.265,1,0,0.683,31.3,0,0.2762,watch
CUST-00189,Voltix Home,Indonesia,paid_search,monthly,29,1,107.68,0.16,3,0,0.98,34.7,0,0.1382,low
