order_id,customer_id,brand,sku,promised_days,actual_days,late_flag,fulfillment_status
ORD-00001,CUST-01594,Northstar Apparel,NA-DENIM-02,3,4,0,on_time
ORD-00002,CUST-00197,VitalEdge Wellness,VW-BUNDLE-03,3,3,0,on_time
ORD-00003,CUST-00240,Voltix Home,VH-FILTER-01,5,6,0,on_time
ORD-00004,CUST-02127,VitalEdge Wellness,VW-PROTEIN-02,4,3,0,on_time
ORD-00005,CUST-01588,Voltix Home,VH-FILTER-01,5,7,1,late
ORD-00006,CUST-01935,Voltix Home,VH-BATTERY-02,4,6,1,late
ORD-00007,CUST-01663,Northstar Apparel,NA-TEE-01,2,3,0,on_time
ORD-00008,CUST-00487,DermaCo Labs,DL-CREAM-02,4,6,1,late
ORD-00009,CUST-00791,VitalEdge Wellness,VW-BUNDLE-03,2,5,1,late
ORD-00010,CUST-02079,Voltix Home,VH-CLEAN-03,5,6,0,on_time
ORD-00011,CUST-02351,DermaCo Labs,DL-CLEANSER-03,3,3,0,on_time
ORD-00012,CUST-01323,DermaCo Labs,DL-CLEANSER-03,4,6,1,late
ORD-00013,CUST-00171,Voltix Home,VH-BATTERY-02,4,6,1,late
ORD-00014,CUST-00045,Northstar Apparel,NA-JACKET-03,4,4,0,on_time
ORD-00015,CUST-00057,VitalEdge Wellness,VW-BUNDLE-03,4,3,0,on_time
ORD-00016,CUST-00176,Northstar Apparel,NA-TEE-01,2,5,1,late
ORD-00017,CUST-01581,Voltix Home,VH-BATTERY-02,5,4,0,on_time
ORD-00018,CUST-01719,VitalEdge Wellness,VW-CAPSULE-01,5,7,1,late
ORD-00019,CUST-01454,DermaCo Labs,DL-CREAM-02,2,3,0,on_time
ORD-00020,CUST-01135,Northstar Apparel,NA-DENIM-02,3,2,0,on_time
ORD-00021,CUST-02072,VitalEdge Wellness,VW-CAPSULE-01,2,1,0,on_time
ORD-00022,CUST-00411,Voltix Home,VH-CLEAN-03,5,4,0,on_time
ORD-00023,CUST-02054,Voltix Home,VH-CLEAN-03,5,3,0,on_time
ORD-00024,CUST-01689,VitalEdge Wellness,VW-PROTEIN-02,5,6,0,on_time
ORD-00025,CUST-01973,VitalEdge Wellness,VW-BUNDLE-03,5,7,1,late
ORD-00026,CUST-00529,Voltix Home,VH-CLEAN-03,3,4,0,on_time
ORD-00027,CUST-02074,Northstar Apparel,NA-DENIM-02,2,5,1,late
ORD-00028,CUST-01179,Voltix Home,VH-CLEAN-03,4,5,0,on_time
ORD-00029,CUST-01300,Voltix Home,VH-FILTER-01,4,5,0,on_time
ORD-00030,CUST-01118,Northstar Apparel,NA-JACKET-03,5,6,0,on_time
ORD-00031,CUST-00528,Northstar Apparel,NA-JACKET-03,3,2,0,on_time
ORD-00032,CUST-02114,VitalEdge Wellness,VW-CAPSULE-01,5,7,1,late
ORD-00033,CUST-00790,DermaCo Labs,DL-CREAM-02,3,7,1,late
ORD-00034,CUST-01340,DermaCo Labs,DL-CLEANSER-03,4,8,1,late
ORD-00035,CUST-01284,DermaCo Labs,DL-CLEANSER-03,4,5,0,on_time
ORD-00036,CUST-01453,Voltix Home,VH-BATTERY-02,3,3,0,on_time
ORD-00037,CUST-01804,Northstar Apparel,NA-TEE-01,3,4,0,on_time
ORD-00038,CUST-00174,DermaCo Labs,DL-CLEANSER-03,4,6,1,late
ORD-00039,CUST-02209,VitalEdge Wellness,VW-CAPSULE-01,4,6,1,late
ORD-00040,CUST-01718,Voltix Home,VH-FILTER-01,3,4,0,on_time
ORD-00041,CUST-01299,Northstar Apparel,NA-TEE-01,4,4,0,on_time
ORD-00042,CUST-00189,Voltix Home,VH-FILTER-01,2,7,1,late
ORD-00043,CUST-00212,Northstar Apparel,NA-JACKET-03,2,3,0,on_time
ORD-00044,CUST-01026,Voltix Home,VH-CLEAN-03,4,3,0,on_time
ORD-00045,CUST-02076,DermaCo Labs,DL-SERUM-01,4,3,0,on_time
ORD-00046,CUST-01551,DermaCo Labs,DL-CREAM-02,3,6,1,late
ORD-00047,CUST-01335,DermaCo Labs,DL-CREAM-02,4,4,0,on_time
