invoice_id,customer_id,invoice_amount,payment_status,decline_reason,retry_count,days_past_due
INV-00001,CUST-00001,61.3,paid,none,0,0
INV-00002,CUST-00002,54.07,paid,none,0,0
INV-00003,CUST-00003,119.97,paid,none,0,0
INV-00004,CUST-00004,45.74,paid,none,0,0
INV-00005,CUST-00005,166.82,paid,none,0,0
INV-00006,CUST-00006,124.05,paid,none,0,0
INV-00007,CUST-00007,83.16,paid,none,0,0
INV-00008,CUST-00008,36.43,paid,none,0,0
INV-00009,CUST-00009,69.06,recovered,expired_card,3,0
INV-00010,CUST-00010,133.65,paid,none,0,0
INV-00011,CUST-00011,71.73,paid,none,0,0
INV-00012,CUST-00012,81.8,paid,none,0,0
INV-00013,CUST-00013,51.24,paid,none,0,0
INV-00014,CUST-00014,48.21,paid,none,0,0
INV-00015,CUST-00015,127.51,paid,none,0,0
INV-00016,CUST-00016,45.8,paid,none,0,0
INV-00017,CUST-00017,35.89,paid,none,0,0
INV-00018,CUST-00018,44.87,paid,none,0,0
INV-00019,CUST-00019,29.96,paid,none,0,0
INV-00020,CUST-00020,161.33,paid,none,0,0
INV-00021,CUST-00021,69.4,paid,none,0,0
INV-00022,CUST-00022,66.37,failed,insufficient_funds,2,8
INV-00023,CUST-00023,53.04,paid,none,0,0
INV-00024,CUST-00024,32.21,paid,none,0,0
INV-00025,CUST-00025,86.57,paid,none,0,0
INV-00026,CUST-00026,67.2,paid,none,0,0
INV-00027,CUST-00027,46.72,paid,none,0,0
INV-00028,CUST-00028,72.13,recovered,gateway_issue,2,0
INV-00029,CUST-00029,52.4,paid,none,0,0
INV-00030,CUST-00030,56.31,paid,none,0,0
INV-00031,CUST-00031,167.22,paid,none,0,0
INV-00032,CUST-00032,260.73,paid,none,0,0
INV-00033,CUST-00033,117.62,paid,none,0,0
INV-00034,CUST-00034,148.15,paid,none,0,0
INV-00035,CUST-00035,72.05,paid,none,0,0
INV-00036,CUST-00036,85.7,recovered,expired_card,2,0
INV-00037,CUST-00037,39.74,paid,none,0,0
INV-00038,CUST-00038,73.93,paid,none,0,0
INV-00039,CUST-00039,102.03,recovered,insufficient_funds,3,0
INV-00040,CUST-00040,75.22,paid,none,0,0
INV-00041,CUST-00041,50.24,paid,none,0,0
INV-00042,CUST-00042,74.4,paid,none,0,0
INV-00043,CUST-00043,70.85,recovered,soft_decline,3,0
INV-00044,CUST-00044,35.13,paid,none,0,0
INV-00045,CUST-00045,45.94,paid,none,0,0
INV-00046,CUST-00046,122.97,failed,gateway_issue,2,4
INV-00047,CUST-00047,29.97,paid,none,0,0
INV-00048,CUST-00048,42.43,paid,none,0,0
INV-00049,CUST-00049,45.18,paid,none,0,0
INV-00050,CUST-00050,67.2,paid,none,0,0
INV-00051,CUST-00051,59.75,paid,none,0,0
INV-00052,CUST-00052,63.97,paid,none,0,0
INV-00053,CUST-00053,170.38,paid,none,0,0
INV-00054,CUST-00054,34.17,paid,none,0,0
INV-00055,CUST-00055,107.52,paid,none,0,0
INV-00056,CUST-00056,36.41,paid,none,0,0
INV-00057,CUST-00057,50.72,paid,none,0,0
INV-00058,CUST-00058,73.05,paid,none,0,0
INV-00059,CUST-00059,89.94,paid,none,0,0
INV-00060,CUST-00060,153.85,paid,none,0,0
INV-00061,CUST-00061,88.48,paid,none,0,0
INV-00062,CUST-00062,144.83,paid,none,0,0
INV-00063,CUST-00063,26.34,paid,none,0,0
INV-00064,CUST-00064,156.68,paid,none,0,0
INV-00065,CUST-00065,69.97,paid,none,0,0
INV-00066,CUST-00066,83.34,paid,none,0,0
INV-00067,CUST-00067,48.78,paid,none,0,0
INV-00068,CUST-00068,111.47,paid,none,0,0
INV-00069,CUST-00069,69.07,paid,none,0,0
INV-00070,CUST-00070,54.88,failed,authentication_required,2,8
INV-00071,CUST-00071,38.64,paid,none,0,0
INV-00072,CUST-00072,40.44,paid,none,0,0
INV-00073,CUST-00073,52.27,paid,none,0,0
INV-00074,CUST-00074,55.74,paid,none,0,0
INV-00075,CUST-00075,46.25,failed,soft_decline,3,14
INV-00076,CUST-00076,43.52,paid,none,0,0
INV-00077,CUST-00077,92.93,paid,none,0,0
INV-00078,CUST-00078,84.8,paid,none,0,0
INV-00079,CUST-00079,50.43,paid,none,0,0
INV-00080,CUST-00080,146.72,paid,none,0,0
INV-00081,CUST-00081,66.22,paid,none,0,0
INV-00082,CUST-00082,37.42,paid,none,0,0
INV-00083,CUST-00083,31.44,paid,none,0,0
INV-00084,CUST-00084,69.09,failed,authentication_required,3,9
INV-00085,CUST-00085,73.53,paid,none,0,0
INV-00086,CUST-00086,132.26,paid,none,0,0
INV-00087,CUST-00087,78.35,paid,none,0,0
INV-00088,CUST-00088,50.26,paid,none,0,0
INV-00089,CUST-00089,147.55,paid,none,0,0
INV-00090,CUST-00090,70.49,paid,none,0,0
INV-00091,CUST-00091,39.32,paid,none,0,0
INV-00092,CUST-00092,78.71,paid,none,0,0
INV-00093,CUST-00093,82.9,paid,none,0,0
INV-00094,CUST-00094,48.48,paid,none,0,0
INV-00095,CUST-00095,65.37,paid,none,0,0
INV-00096,CUST-00096,121.94,paid,none,0,0
INV-00097,CUST-00097,138.4,paid,none,0,0
INV-00098,CUST-00098,35.1,paid,none,0,0
INV-00099,CUST-00099,39.6,paid,none,0,0
INV-00100,CUST-00100,93.5,paid,none,0,0
INV-00101,CUST-00101,42.52,paid,none,0,0
INV-00102,CUST-00102,55.34,paid,none,0,0
INV-00103,CUST-00103,74.06,paid,none,0,0
INV-00104,CUST-00104,43.02,paid,none,0,0
INV-00105,CUST-00105,32.52,paid,none,0,0
INV-00106,CUST-00106,38.05,paid,none,0,0
INV-00107,CUST-00107,105.72,paid,none,0,0
INV-00108,CUST-00108,42.43,paid,none,0,0
INV-00109,CUST-00109,78.98,paid,none,0,0
INV-00110,CUST-00110,63.86,paid,none,0,0
INV-00111,CUST-00111,43.77,paid,none,0,0
INV-00112,CUST-00112,92.49,paid,none,0,0
INV-00113,CUST-00113,47.1,paid,none,0,0
INV-00114,CUST-00114,151.45,failed,insufficient_funds,3,11
INV-00115,CUST-00115,56.58,paid,none,0,0
INV-00116,CUST-00116,78.23,paid,none,0,0
INV-00117,CUST-00117,42.79,paid,none,0,0
INV-00118,CUST-00118,42.34,paid,none,0,0
INV-00119,CUST-00119,70.52,paid,none,0,0
INV-00120,CUST-00120,49.17,paid,none,0,0
